ax,ay,az,gx,gy,gz
-1.232,-0.107,-0.222,113.008,174.992,-20.824
-1.204,-0.072,-0.238,111.511,184.679,-51.137
-1.129,-0.058,-0.219,94.389,204.473,-85.580
-0.950,-0.278,-0.227,78.137,199.023,-111.863
-0.715,-0.317,-0.196,69.069,199.885,-122.221
-0.684,-0.167,-0.188,57.382,200.992,-119.145
-0.703,-0.107,-0.284,42.290,188.908,-114.534
-0.661,-0.214,-0.331,33.137,167.947,-116.603
-0.663,-0.298,-0.464,31.908,128.450,-117.786
-0.725,-0.302,-0.581,37.870,95.992,-124.901
-0.741,-0.341,-0.689,57.489,90.573,-139.718
-0.761,-0.369,-0.686,86.870,114.511,-157.847
-0.780,-0.420,-0.641,110.542,127.344,-175.450
-0.760,-0.445,-0.555,125.725,112.076,-197.153
-0.611,-0.383,-0.463,137.702,70.611,-219.374
-0.479,-0.427,-0.450,149.794,33.130,-237.847
-0.339,-0.440,-0.388,165.031,1.420,-242.099
-0.271,-0.466,-0.379,171.794,-18.046,-227.565
-0.279,-0.595,-0.282,173.130,-38.458,-211.763
-0.214,-0.658,-0.227,173.718,-64.527,-208.832
-0.194,-0.635,-0.130,167.458,-91.336,-211.924
-0.281,-0.744,-0.112,156.710,-121.092,-218.603
-0.287,-0.811,-0.121,140.084,-146.702,-229.405
-0.317,-0.867,-0.040,120.603,-200.840,-242.298
-0.254,-0.809,0.001,105.908,-250.137,-250.137
-0.179,-0.821,-0.041,100.122,-250.137,-250.137
-0.122,-0.919,-0.051,100.137,-250.137,-250.137
-0.027,-0.985,-0.005,101.290,-250.137,-236.656
0.062,-0.966,0.026,87.618,-250.137,-209.076
0.117,-0.972,0.112,74.382,-250.137,-181.466
0.093,-1.000,0.239,70.733,-250.137,-162.427
0.048,-0.952,0.163,70.191,-250.137,-151.450
0.033,-0.886,0.068,66.832,-250.137,-145.504
0.035,-0.804,0.092,61.939,-250.137,-139.702
0.059,-0.874,0.109,61.076,-250.137,-133.214
0.061,-0.989,0.194,61.534,-250.137,-128.931
0.061,-1.025,0.247,59.046,-250.137,-121.176
0.097,-0.974,0.234,47.374,-250.137,-109.099
0.178,-0.835,0.164,34.679,-250.137,-88.069
0.242,-0.671,0.145,33.992,-250.137,-73.527
0.211,-0.756,0.212,47.397,-250.137,-74.351
0.140,-1.011,0.302,67.794,-250.137,-89.504
0.030,-1.122,0.364,75.626,-250.137,-106.985
-0.123,-1.229,0.361,52.969,-250.137,-114.603
0.004,-1.068,0.388,18.382,-250.137,-109.221
0.042,-0.922,0.385,-9.099,-250.137,-107.710
-0.039,-0.932,0.393,-30.519,-250.137,-116.450
